relation_semantique	forme_complete	GN1	GN2
r_lieu>origine	agrumes de Sicile	agrumes	Sicile
r_lieu>origine	thon des Maldives	thon	Maldives
r_lieu>origine	vanille de Madagascar	vanille	Madagascar
r_lieu>origine	cacao du Ghana	cacao	Ghana
r_lieu>origine	émeraudes de Colombie	émeraudes	Colombie
r_lieu>origine	porc de Bretagne	porc	Bretagne
r_lieu>origine	moutarde de Dijon	moutarde	Dijon
r_lieu>origine	agave du Mexique	agave	Mexique
r_lieu>origine	kiwi de Nouvelle-Zélande	kiwi	Nouvelle-Zélande
r_lieu>origine	thon de Tahiti	thon	Tahiti
r_lieu>origine	cerises de Montmorency	cerises	Montmorency
r_lieu>origine	lavande de Provence	lavande	Provence
r_lieu>origine	châtaignes d'Ardèche	châtaignes	Ardèche
r_lieu>origine	bananes des Canaries	bananes	Canaries
r_lieu>origine	épinards de Hollande	épinards	Hollande
r_lieu>origine	mangues d'Inde	mangues	Inde
r_lieu>origine	cerf du Canada	cerf	Canada
r_lieu>origine	truffes du Périgord	truffes	Périgord
r_lieu>origine	kiwis de Corse	kiwis	Corse
r_lieu>origine	citron de Menton	citron	Menton
r_lieu>origine	asperges des Landes	asperges	Landes
r_lieu>origine	grenade d'Iran	grenade	Iran
r_lieu>origine	cerises de Burlat	cerises	Burlat
r_lieu>origine	melon de Cavaillon	melon	Cavaillon
r_lieu>origine	pommes de Normandie	pommes	Normandie
r_lieu>origine	abricots de Provence	abricots	Provence
r_lieu>origine	figues de Turquie	figues	Turquie
r_lieu>origine	raisins de Champagne	raisins	Champagne
r_lieu>origine	oignons de Roscoff	oignons	Roscoff
r_lieu>origine	cerises de Bigarreau	cerises	Bigarreau
r_lieu>origine	champignons des bois	champignons	bois
r_lieu>origine	pommes de terre de Bretagne	pommes de terre	Bretagne
r_lieu>origine	carottes de Guérande	carottes	Guérande
r_lieu>origine	myrtilles des Vosges	myrtilles	Vosges
r_lieu>origine	framboises d'Ardèche	framboises	Ardèche
r_lieu>origine	foie gras du Périgord	foie gras	Périgord
r_lieu>origine	céramique du Portugal	céramique	Portugal
r_lieu>origine	vin du Chili	vin	Chili
r_lieu>origine	fromage de Camembert	fromage	Camembert
r_lieu>origine	thé de Taïwan	thé	Taïwan
r_lieu>origine	café de Colombie	café	Colombie
r_lieu>origine	riz de Thaïlande	riz	Thaïlande
r_lieu>origine	chocolat de Suisse	chocolat	Suisse
r_lieu>origine	fromage de Savoie	fromage	Savoie
r_lieu>origine	porcelaine de Chine	porcelaine	Chine
r_lieu>origine	papier du Japon	papier	Japon
r_lieu>origine	soie de Chine	soie	Chine
r_lieu>origine	verre de Murano	verre	Murano
r_lieu>origine	cuir d'Italie	cuir	Italie
r_lieu>origine	roche d'Inde	roche	Inde
r_lieu>origine	papier d'Indonésie	papier	Indonésie
r_lieu>origine	safran d'Espagne	safran	Espagne
r_lieu>origine	thé d'Inde	thé	Inde
r_lieu>origine	café du Vietnam	café	Vietnam
r_lieu>origine	riz d'Indonésie	riz	Indonésie
r_lieu>origine	chocolat d'Équateur	chocolat	Équateur
r_lieu>origine	fromage de Gruyère	fromage	Gruyère
r_lieu>origine	porcelaine de Thaïlande	porcelaine	Thaïlande
r_lieu>origine	soie d'Inde	soie	Inde
r_lieu>origine	piment d'Espelette	piment	Espelette
r_lieu>origine	huile d’argan du Maroc	huile d’argan	Maroc
r_lieu>origine	saumon de Norvège	saumon	Norvège
r_lieu>origine	spiruline du Tchad	spiruline	Tchad
r_social_tie	avocat de la défense	avocat	défense
r_social_tie	médecin de famille	médecin	famille
r_social_tie	chef du groupe	chef	groupe
r_social_tie	président de l'association	président	association
r_social_tie	directeur de l'école	directeur	école
r_social_tie	entraîneur de l'équipe	entraîneur	équipe
r_social_tie	professeur des étudiants	professeur	étudiants
r_social_tie	tuteur de l'enfant	tuteur	enfant
r_social_tie	conseiller du ministre	conseiller	ministre
r_social_tie	secrétaire du directeur	secrétaire	directeur
r_social_tie	ami de Pierre	ami	Pierre
r_social_tie	collègue de Marie	collègue	Marie
r_social_tie	voisin du quartier	voisin	quartier
r_social_tie	employé de l'entreprise	employé	entreprise
r_social_tie	représentant des salariés	représentant	salariés
r_social_tie	capitaine de l'équipe	capitaine	équipe
r_social_tie	délégué de classe	délégué	classe
r_social_tie	maire de la ville	maire	ville
r_social_tie	gardien de l'immeuble	gardien	immeuble
r_social_tie	chef de la tribu	chef	tribu
r_social_tie	entraîneur du joueur	entraîneur	joueur
r_social_tie	mentor de l'apprenti	mentor	apprenti
r_social_tie	professeur de musique	professeur	musique
r_social_tie	intervenant de l'association	intervenant	association
r_social_tie	trésorier de l'association	trésorier	association
r_social_tie	vice-président de l'association	vice-président	association
r_social_tie	secrétaire du maire	secrétaire	maire
r_social_tie	conseiller du directeur	conseiller	directeur
r_social_tie	responsable du service	responsable	service
r_social_tie	mère de l’enfant	mère	enfant
r_social_tie	adjoint du maire	adjoint	maire
r_social_tie	père de la famille	père	famille
r_social_tie	ami d'enfance	ami	enfance
r_social_tie	camarade de travail	camarade	travail
r_social_tie	coach de sport	coach	sport
r_social_tie	porte-parole du gouvernement	porte-parole	gouvernement
r_social_tie	coach de l’équipe	coach	équipe
r_social_tie	chef de projet	chef	projet
r_social_tie	partenaire d'affaires	partenaire	affaires
r_social_tie	mentor de l'artiste	mentor	artiste
r_social_tie	mentor de l’étudiant	mentor	étudiant
r_social_tie	protecteur du peuple	protecteur	peuple
r_social_tie	gardien du musée	gardien	musée
r_social_tie	conseiller du roi	conseiller	roi
r_social_tie	assistant du maire	assistant	maire
r_social_tie	assistant du directeur	assistant	directeur
r_social_tie	assistant du professeur	assistant	professeur
r_social_tie	avocat du client	avocat	client
r_social_tie	ami de la famille	ami	famille
r_social_tie	chef de la police	chef	police
r_social_tie	conseiller du président	conseiller	président
r_social_tie	camarade de classe	camarade	classe
r_social_tie	collaborateur du projet	collaborateur	projet
r_social_tie	partenaire de danse	partenaire	danse
r_social_tie	ministre de la culture	ministre	culture
r_social_tie	directeur des opérations	directeur	opérations
r_social_tie	directeur des ressources humaines	directeur	ressources humaines
r_social_tie	chef de la sécurité	chef	sécurité
r_social_tie	coordinateur de l'événement	coordinateur	événement
r_social_tie	coordinateur de projet	coordinateur	projet
r_social_tie	gestionnaire de l'équipe	gestionnaire	équipe
r_social_tie	partenaire de projet	partenaire	projet
r_social_tie	trésorier d'une entreprise	trésorier	entreprise
r_social_tie	inspecteur des finances	inspecteur	finances
r_social_tie	général de l’armée	général	armée
r_social_tie	brigadier de police	brigadier	police
r_social_tie	ambassadeur des États-Unis	ambassadeur	États-Unis
r_social_tie	membre du comité	membre	comité
r_social_tie	directeur du festival	directeur	festival
r_social_tie	professeur de sport	professeur	sport
r_social_tie	entraîneur de basketball	entraîneur	basketball
r_social_tie	manageur de l'écrivain	manageur	écrivain
r_social_tie	ambassadeur de France	ambassadeur	France
r_social_tie	diplomate de carrière	diplomate	carrière
r_social_tie	consultant du manageur	consultant	manageur
r_social_tie	porte-drapeau du club	porte-drapeau	club
r_social_tie	rédacteur du journal	rédacteur	journal
r_social_tie	journaliste de télévision	journaliste	télévision
r_social_tie	éditeur du magazine	éditeur	magazine
r_social_tie	acteur de la troupe	acteur	troupe
r_social_tie	chanteur du groupe	chanteur	groupe
r_social_tie	danseur de la compagnie	danseur	compagnie
r_social_tie	chorégraphe du clip	chorégraphe	clip
r_social_tie	metteur en scène de la pièce	metteur en scène	pièce
r_social_tie	scénariste du film	scénariste	film
r_social_tie	producteur de la série	producteur	série
r_social_tie	réalisateur du documentaire	réalisateur	documentaire
r_social_tie	client de l'avocat	client	avocat
r_social_tie	patient du médecin	patient	médecin
r_social_tie	élève du professeur	élève	professeur
r_social_tie	employé du directeur	employé	directeur
r_social_tie	membre de l'équipe	membre	équipe
r_social_tie	citoyen du pays	citoyen	pays
r_social_tie	professeur de danse	professeur	danse
r_social_tie	entraîneur de football	entraîneur	football
r_social_tie	mentor de l'athlète	mentor	athlète
r_social_tie	mentor de l'équipe	mentor	équipe
r_social_tie	cuisinier du restaurant	cuisinier	restaurant
r_social_tie	serveur du café	serveur	café
r_social_tie	tuteur de l’étudiant	tuteur	étudiant
r_holo	coque du bateau	coque	bateau
r_holo	aile de l'avion	aile	avion
r_holo	toit de la maison	toit	maison
r_holo	manche du couteau	manche	couteau
r_holo	écran de l'ordinateur	écran	ordinateur
r_holo	moteur de la voiture	moteur	voiture
r_holo	page du livre	page	livre
r_holo	branche de l'arbre	branche	arbre
r_holo	pétale de la rose	pétale	rose
r_holo	roue du vélo	roue	vélo
r_holo	touche du piano	touche	piano
r_holo	lame de l'épée	lame	épée
r_holo	voile du navire	voile	navire
r_holo	porte de l'armoire	porte	armoire
r_holo	poignée du tiroir	poignée	tiroir
r_holo	pédale du vélo	pédale	vélo
r_holo	volant de la voiture	volant	voiture
r_holo	chapitre du livre	chapitre	livre
r_holo	scène du film	scène	film
r_holo	étage du bâtiment	étage	bâtiment
r_holo	fenêtre de la maison	fenêtre	maison
r_holo	batterie de la voiture	batterie	voiture
r_holo	carte mère de l'ordinateur	carte mère	ordinateur
r_holo	couvercle de la boîte	couvercle	boîte
r_holo	antenne de la télévision	antenne	télévision
r_holo	miroir de la salle de bain	miroir	salle de bain
r_holo	bouton de la télécommande	bouton	télécommande
r_holo	clavier de l'ordinateur	clavier	ordinateur
r_holo	écran du smartphone	écran	smartphone
r_holo	haut-parleur de la radio	haut-parleur	radio
r_holo	planète du système solaire	planète	système solaire
r_holo	fleur du jardin	fleur	jardin
r_holo	feuille de l'arbre	feuille	arbre
r_holo	racine de la plante	racine	plante
r_holo	grappe de raisin	grappe	raisin
r_holo	branche de l'arbuste	branche	arbuste
r_holo	bulbe de l'oignon	bulbe	oignon
r_holo	graine de la fleur	graine	fleur
r_holo	fruit de l'arbre	fruit	arbre
r_holo	écorce de l'arbre	écorce	arbre
r_holo	branche de la vigne	branche	vigne
r_holo	touche du clavier	touche	clavier
r_holo	clé du piano	clé	piano
r_holo	corde de la guitare	corde	guitare
r_holo	frette de la guitare	frette	guitare
r_holo	goudron de la route	goudron	route
r_holo	semelle de la chaussure	semelle	chaussure
r_holo	lame de la scie	lame	scie
r_holo	poche du pantalon	poche	pantalon
r_holo	cadre du tableau	cadre	tableau
r_holo	poignée de la porte	poignée	porte
r_holo	colonne du bâtiment	colonne	bâtiment
r_holo	cheminée de la maison	cheminée	maison
r_holo	colonne de l'alambic	colonne	alambic
r_holo	roue de la tracteur	roue	tracteur
r_holo	antenne du satellite	antenne	satellite
r_holo	batterie du téléphone	batterie	téléphone
r_holo	écran de la télévision	écran	télévision
r_holo	ampoule de la lampe	ampoule	lampe
r_holo	pied de la chaise	pied	chaise
r_holo	bras du fauteuil	bras	fauteuil
r_holo	sangle du sac	sangle	sac
r_holo	couvercle de la casserole	couvercle	casserole
r_holo	anse de la tasse	anse	tasse
r_holo	lentille du microscope	lentille	microscope
r_holo	objectif de l'appareil photo	objectif	appareil photo
r_holo	diaphragme de l'appareil photo	diaphragme	appareil photo
r_holo	batterie de la montre	batterie	montre
r_holo	cadran de la montre	cadran	montre
r_holo	bracelet de la montre	bracelet	montre
r_holo	aiguille de la montre	aiguille	montre
r_holo	main de Gabrielle	main	Gabrielle
r_holo	yeux de Paul	yeux	Paul
r_holo	bouche de Sophie	bouche	Sophie
r_holo	oreilles de Thomas	oreilles	Thomas
r_holo	cheveux de Laura	cheveux	Laura
r_holo	transistor du processeur	transistor	processeur
r_holo	circuit du processeur	circuit	processeur
r_holo	proton de l'atome	proton	atome
r_holo	neutron de l'atome	neutron	atome
r_holo	electron de l'atome	electron	atome
r_holo	manche du t-shirt	manche	t-shirt
r_holo	colonne du temple	colonne	temple
r_holo	pignon du vélo	pignon	vélo
r_holo	dent de la scie	dent	scie
r_holo	pédale du piano	pédale	piano
r_holo	corde du violon	corde	violon
r_holo	peau de l'orange	peau	orange
r_holo	chair de la tomate	chair	tomate
r_holo	pupille de l'œil	pupille	œil
r_holo	iris de l'œil	iris	œil
r_holo	cornée de l'œil	cornée	œil
r_holo	cristallin de l'œil	cristallin	œil
r_holo	sabot de la vache	sabot	vache
r_holo	plume de l'oiseau	plume	oiseau
r_holo	écaille du poisson	écaille	poisson
r_holo	aile de l'oiseau	aile	oiseau
r_holo	griffe du lion	griffe	lion
r_holo	branchie du poisson	branchie	poisson
r_holo	bois de cerf	bois	cerf
r_quantificateur	brin d'herbe	brin	herbe
r_quantificateur	goutte d'eau	goutte	eau
r_quantificateur	grain de sable	grain	sable
r_quantificateur	pincée de sel	pincée	sel
r_quantificateur	tranche de pain	tranche	pain
r_quantificateur	verre de vin	verre	vin
r_quantificateur	cuillère de sucre	cuillère	sucre
r_quantificateur	morceau de fromage	morceau	fromage
r_quantificateur	bouteille de lait	bouteille	lait
r_quantificateur	kilo de pommes	kilo	pommes
r_quantificateur	litre d'essence	litre	essence
r_quantificateur	mètre de tissu	mètre	tissu
r_quantificateur	tas de pierres	tas	pierres
r_quantificateur	poignée de riz	poignée	riz
r_quantificateur	nuage de poussière	nuage	poussière
r_quantificateur	paquet de cigarettes	paquet	cigarettes
r_quantificateur	rangée d'arbres	rangée	arbres
r_quantificateur	pile de documents	pile	documents
r_quantificateur	série de questions	série	questions
r_quantificateur	ensemble de règles	ensemble	règles
r_quantificateur	bol de soupe	bol	soupe
r_quantificateur	sac de farine	sac	farine
r_quantificateur	caisse de livres	caisse	livres
r_quantificateur	poignée de sable	poignée	sable
r_quantificateur	morceau de bois	morceau	bois
r_quantificateur	cube de glace	cube	glace
r_quantificateur	gramme d’or	gramme	or
r_quantificateur	litre d’eau	litre	eau
r_quantificateur	flacon de parfum	flacon	parfum
r_quantificateur	paquet de farine	paquet	farine
r_quantificateur	bouquet de fleurs	bouquet	fleurs
r_quantificateur	groupe d’amis	groupe	amis
r_quantificateur	troupeau de moutons	troupeau	moutons
r_quantificateur	nuée d’oiseaux	nuée	oiseaux
r_quantificateur	foule de touristes	foule	touristes
r_quantificateur	série de romans	série	romans
r_quantificateur	collection de timbres	collection	timbres
r_quantificateur	pile de vêtements	pile	vêtements
r_quantificateur	tas de feuilles	tas	feuilles
r_quantificateur	rangée de sièges	rangée	sièges
r_quantificateur	verre d’eau	verre	eau
r_quantificateur	tasse de café	tasse	café
r_quantificateur	bol de céréales	bol	céréales
r_quantificateur	assiette de pâtes	assiette	pâtes
r_quantificateur	pot de confiture	pot	confiture
r_quantificateur	boîte de biscuits	boîte	biscuits
r_quantificateur	barquette de fraises	barquette	fraises
r_quantificateur	bouteille de jus	bouteille	jus
r_quantificateur	sac de pommes de terre	sac	pommes de terre
r_quantificateur	paquet de pâtes	paquet	pâtes
r_quantificateur	kilo de riz	kilo	riz
r_quantificateur	tonne de charbon	tonne	charbon
r_quantificateur	gramme de sucre	gramme	sucre
r_quantificateur	centilitre d’huile	centilitre	huile
r_quantificateur	mètre de câble	mètre	câble
r_quantificateur	litre de lait	litre	lait
r_quantificateur	hectare de terrain	hectare	terrain
r_quantificateur	paquet de farine	paquet	farine
r_quantificateur	caisse de bouteilles	caisse	bouteilles
r_quantificateur	tonneau de vin	tonneau	vin
r_quantificateur	poignée de clous	poignée	clous
r_quantificateur	brassée de linge	brassée	linge
r_quantificateur	pelletée de neige	pelletée	neige
r_quantificateur	flaque d’eau	flaque	eau
r_quantificateur	nuage de fumée	nuage	fumée
r_quantificateur	rideau de pluie	rideau	pluie
r_quantificateur	souffle de vent	souffle	vent
r_quantificateur	rayon de soleil	rayon	soleil
r_quantificateur	voile de brume	voile	brume
r_quantificateur	couche de poussière	couche	poussière
r_quantificateur	série d’exercices	série	exercices
r_quantificateur	multitude de détails	multitude	détails
r_quantificateur	succession d’événements	succession	événements
r_quantificateur	flot de paroles	flot	paroles
r_quantificateur	torrent d’émotions	torrent	émotions
r_quantificateur	amas de données	amas	données
r_quantificateur	éventail de possibilités	éventail	possibilités
r_quantificateur	chaîne de montagnes	chaîne	montagnes
r_quantificateur	pincée de paprika	pincée	paprika
r_quantificateur	kilo de homard	kilo	homard
r_quantificateur	filet d’huile	filet	huile
r_quantificateur	cagette de citron	cagette	citron
r_quantificateur	pincée de poivre	pincée	poivre
r_quantificateur	goutte de sang	goutte	sang
r_quantificateur	morceau de gâteau	morceau	gâteau
r_quantificateur	tranche de fromage	tranche	fromage
r_quantificateur	cuillerée de miel	cuillerée	miel
r_quantificateur	verre de jus	verre	jus
r_quantificateur	bol de riz	bol	riz
r_quantificateur	assiette de crudités	assiette	crudités
r_quantificateur	poignée de feuilles	poignée	feuilles
r_quantificateur	bouquet de roses	bouquet	roses
r_quantificateur	gerbe de blé	gerbe	blé
r_quantificateur	brassée de fleurs	brassée	fleurs
r_quantificateur	buisson de ronces	buisson	ronces
r_quantificateur	forêt de pins	forêt	pins
r_quantificateur	champ de tournesols	champ	tournesols
r_quantificateur	boite d’aiguilles	boite	aiguilles
r_quantificateur	rideau de branches	rideau	branches
r_quantificateur	amas de rochers	amas	rochers
r_objet>matière	cuillère de bois	cuillère	bois
r_objet>matière	statue de bronze	statue	bronze
r_objet>matière	bijou d'or	bijou	or
r_objet>matière	vase de cristal	vase	cristal
r_objet>matière	table de marbre	table	marbre
r_objet>matière	pull de laine	pull	laine
r_objet>matière	sac de cuir	sac	cuir
r_objet>matière	maison de pierre	maison	pierre
r_objet>matière	pont de fer	pont	fer
r_objet>matière	couronne de fleurs	couronne	fleurs
r_objet>matière	château de sable	château	sable
r_objet>matière	mur de briques	mur	briques
r_objet>matière	collier de perles	collier	perles
r_objet>matière	robe de soie	robe	soie
r_objet>matière	chaise de plastique	chaise	plastique
r_objet>matière	escalier de bois	escalier	bois
r_objet>matière	tuyau de cuivre	tuyau	cuivre
r_objet>matière	barrière de métal	barrière	métal
r_objet>matière	coussin de plumes	coussin	plumes
r_objet>matière	pneu de caoutchouc	pneu	caoutchouc
r_objet>matière	bol de porcelaine	bol	porcelaine
r_objet>matière	verre de cristal	verre	cristal
r_objet>matière	assiette de céramique	assiette	céramique
r_objet>matière	couteau d’acier	couteau	acier
r_objet>matière	cuillère d’argent	cuillère	argent
r_objet>matière	porte de bois	porte	bois
r_objet>matière	gobelet de plastique	gobelet	plastique
r_objet>matière	échelle d’aluminium	échelle	aluminium
r_objet>matière	casque de métal	casque	métal
r_objet>matière	lampe de verre	lampe	verre
r_objet>matière	rideau de lin	rideau	lin
r_objet>matière	nappe de coton	nappe	coton
r_objet>matière	tapis de laine	tapis	laine
r_objet>matière	chaussures de cuir	chaussures	cuir
r_objet>matière	ceinture de cuir	ceinture	cuir
r_objet>matière	sac de toile	sac	toile
r_objet>matière	tente de tissu	tente	tissu
r_objet>matière	chemise de soie	chemise	soie
r_objet>matière	manteau de fourrure	manteau	fourrure
r_objet>matière	couverture de coton	couverture	coton
r_objet>matière	armure de fer	armure	fer
r_objet>matière	sabre d’acier	sabre	acier
r_objet>matière	bouclier de bois	bouclier	bois
r_objet>matière	pièce d’argile	pièce	argile
r_objet>matière	amphore de terre cuite	amphore	terre cuite
r_objet>matière	statue de marbre	statue	marbre
r_objet>matière	porte de métal	porte	métal
r_objet>matière	radiateur de fonte	radiateur	fonte
r_objet>matière	tube de PVC	tube	PVC
r_objet>matière	câble de cuivre	câble	cuivre
r_objet>matière	barre de fer	barre	fer
r_objet>matière	grille d’acier	grille	acier
r_objet>matière	cage de métal	cage	métal
r_objet>matière	lit de bois	lit	bois
r_objet>matière	armoire de chêne	armoire	chêne
r_objet>matière	table de verre	table	verre
r_objet>matière	cadre de bois	cadre	bois
r_objet>matière	bureau de métal	bureau	métal
r_objet>matière	clé de bronze	clé	bronze
r_objet>matière	anneau d’or	anneau	or
r_objet>matière	lunettes de plastique	lunettes	plastique
r_objet>matière	boîte en carton	boîte	carton
r_objet>matière	emballage de papier	emballage	papier
r_objet>matière	panier d’osier	panier	osier
r_objet>matière	chaise de rotin	chaise	rotin
r_objet>matière	toit de tuiles	toit	tuiles
r_objet>matière	cheminée de briques	cheminée	briques
r_objet>matière	mur de béton	mur	béton
r_objet>matière	souche de bois	souche	bois
r_objet>matière	planche de pin	planche	pin
r_objet>matière	crayon de graphite	crayon	graphite
r_objet>matière	stylo de plastique	stylo	plastique
r_objet>matière	livre de papier	livre	papier
r_objet>matière	jouet de bois	jouet	bois
r_objet>matière	marteau de métal	marteau	métal
r_objet>matière	pioche de fer	pioche	fer
r_objet>matière	seau de plastique	seau	plastique
r_objet>matière	bouteille de verre	bouteille	verre
r_objet>matière	flûte de bambou	flûte	bambou
r_objet>matière	trompette de cuivre	trompette	cuivre
r_objet>matière	violon de bois	violon	bois
r_objet>matière	masque de latex	masque	latex
r_objet>matière	tapis de jute	tapis	jute
r_objet>matière	pull d’acrylique	pull	acrylique
r_objet>matière	porte de contreplaqué	porte	contreplaqué
r_objet>matière	voiture de métal	voiture	métal
r_objet>matière	casque de carbone	casque	carbone
r_objet>matière	bateau de bois	bateau	bois
r_objet>matière	pagaie de fibre de carbone	pagaie	fibre de carbone
r_objet>matière	rame de bois	rame	bois
r_objet>matière	échafaudage de métal	échafaudage	métal
r_objet>matière	boîte de fer-blanc	boîte	fer-blanc
r_objet>matière	éventail de papier	éventail	papier
r_objet>matière	lustre de cristal	lustre	cristal
r_objet>matière	pierre de granit	pierre	granit
r_objet>matière	statue d’argile	statue	argile
r_objet>matière	lanterne de papier	lanterne	papier
r_objet>matière	ficelle de chanvre	ficelle	chanvre
r_objet>matière	corde de nylon	corde	nylon
r_depict	portrait de la reine	portrait	reine
r_depict	photo de famille	photo	famille
r_depict	tableau de paysage	tableau	paysage
r_depict	sculpture de cheval	sculpture	cheval
r_depict	dessin d'enfant	dessin	enfant
r_depict	peinture de fleurs	peinture	fleurs
r_depict	gravure de la cathédrale	gravure	cathédrale
r_depict	croquis du bâtiment	croquis	bâtiment
r_depict	schéma du circuit	schéma	circuit
r_depict	carte de France	carte	France
r_depict	plan de la ville	plan	ville
r_depict	maquette du projet	maquette	projet
r_depict	statue de la liberté	statue	liberté
r_depict	fresque de la bataille	fresque	bataille
r_depict	esquisse du monument	esquisse	monument
r_depict	image du produit	image	produit
r_depict	reproduction du tableau	reproduction	tableau
r_depict	représentation du système	représentation	système
r_depict	illustration du conte	illustration	conte
r_depict	caricature du président	caricature	président
r_depict	portrait du roi	portrait	roi
r_depict	portrait du guerrier	portrait	guerrier
r_depict	portrait du musicien	portrait	musicien
r_depict	portrait de l’acteur	portrait	acteur
r_depict	portrait du chef	portrait	chef
r_depict	photo du chien	photo	chien
r_depict	photo du chat	photo	chat
r_depict	photo du groupe	photo	groupe
r_depict	photo du public	photo	public
r_depict	photo du paysage	photo	paysage
r_depict	tableau du port	tableau	port
r_depict	tableau de la forêt	tableau	forêt
r_depict	tableau de la bataille	tableau	bataille
r_depict	tableau de la mer	tableau	mer
r_depict	tableau du village	tableau	village
r_depict	sculpture de lion	sculpture	lion
r_depict	sculpture d’aigle	sculpture	aigle
r_depict	sculpture du héros	sculpture	héros
r_depict	sculpture du danseur	sculpture	danseur
r_depict	sculpture du pêcheur	sculpture	pêcheur
r_depict	dessin de dragon	dessin	dragon
r_depict	dessin de maison	dessin	maison
r_depict	dessin de robot	dessin	robot
r_depict	dessin de voiture	dessin	voiture
r_depict	dessin de montagne	dessin	montagne
r_depict	peinture du ciel	peinture	ciel
r_depict	peinture du jardin	peinture	jardin
r_depict	peinture du château	peinture	château
r_depict	peinture du village	peinture	village
r_depict	peinture du lac	peinture	lac
r_depict	gravure du temple	gravure	temple
r_depict	gravure du navire	gravure	navire
r_depict	gravure du pont	gravure	pont
r_depict	gravure du marché	gravure	marché
r_depict	gravure du moulin	gravure	moulin
r_depict	croquis du visage	croquis	visage
r_depict	croquis de la scène	croquis	scène
r_depict	croquis du jardin	croquis	jardin
r_depict	croquis du château	croquis	château
r_depict	croquis du quartier	croquis	quartier
r_depict	schéma de la machine	schéma	machine
r_depict	schéma de l’installation	schéma	installation
r_depict	schéma du moteur	schéma	moteur
r_depict	schéma du réseau	schéma	réseau
r_depict	schéma du dispositif	schéma	dispositif
r_depict	carte du monde	carte	monde
r_depict	carte de la région	carte	région
r_depict	carte du district	carte	district
r_depict	carte des étoiles	carte	étoiles
r_depict	carte du désert	carte	désert
r_depict	plan du musée	plan	musée
r_depict	plan de la maison	plan	maison
r_depict	plan du bâtiment	plan	bâtiment
r_depict	plan du parcours	plan	parcours
r_depict	plan du site	plan	site
r_depict	maquette de l’avion	maquette	avion
r_depict	maquette du stade	maquette	stade
r_depict	maquette du parc	maquette	parc
r_depict	maquette du centre-ville	maquette	centre-ville
r_depict	maquette du pont	maquette	pont
r_depict	fresque du marché	fresque	marché
r_depict	fresque du fleuve	fresque	fleuve
r_depict	fresque du mur	fresque	mur
r_depict	fresque de la ville	fresque	ville
r_depict	fresque du quartier	fresque	quartier
r_depict	esquisse du costume	esquisse	costume
r_depict	esquisse du personnage	esquisse	personnage
r_depict	esquisse du bateau	esquisse	bateau
r_depict	esquisse du décor	esquisse	décor
r_depict	esquisse de la scène	esquisse	scène
r_depict	image du véhicule	image	véhicule
r_depict	image du bâtiment	image	bâtiment
r_depict	image du dispositif	image	dispositif
r_depict	image du prototype	image	prototype
r_depict	image de la structure	image	structure
r_depict	illustration du mythe	illustration	mythe
r_depict	illustration du roman	illustration	roman
r_depict	illustration du personnage	illustration	personnage
r_depict	illustration de l’animal	illustration	animal
r_depict	illustration du symbole	illustration	symbole
r_depict	caricature du roi	caricature	roi
r_depict	caricature du chef	caricature	chef
r_depict	caricature du ministre	caricature	ministre
r_depict	caricature du politicien	caricature	politicien
r_depict	caricature de l’artiste	caricature	artiste
r_lieu	tour de Pise	tour	Pise
r_lieu	bataille de Waterloo	bataille	Waterloo
r_lieu	musée de Paris	musée	Paris
